main_category,main_link,sub_category,sub_category_id,sub_category_link
Hobbies & Crafts,https://example.com/c/hobbies_crafts,Hobbies,hobbies,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/hobbies.json
Hobbies & Crafts,https://example.com/c/hobbies_crafts,"Metal, Stone & Glass Work",metal_stone_glass_work,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/metal_stone_glass_work.json
Hobbies & Crafts,https://example.com/c/hobbies_crafts,Music & Instruments,music_instruments,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/music_instruments.json
Hobbies & Crafts,https://example.com/c/hobbies_crafts,Needlework & Knitting,needlework_knitting,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/needlework_knitting.json
Hobbies & Crafts,https://example.com/c/hobbies_crafts,Outdoor Activities,outdoor_activities,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/outdoor_activities.json
Hobbies & Crafts,https://example.com/c/hobbies_crafts,Painting & Paper,painting_paper,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/painting_paper.json
Home & Garden,https://example.com/c/home_garden,Bathroom & Kitchen,bathroom_kitchen,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/bathroom_kitchen.json
Home & Garden,https://example.com/c/home_garden,Cultural Goods,cultural_goods,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/cultural_goods.json
Home & Garden,https://example.com/c/home_garden,Decoration & Interior,decoration_interior,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/decoration_interior.json
Home & Garden,https://example.com/c/home_garden,Energy & Heating,energy_heating,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/energy_heating.json
Home & Garden,https://example.com/c/home_garden,Fabric & Stationery,fabric_stationary,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/fabric_stationary.json
Home & Garden,https://example.com/c/home_garden,Furniture Stores,furniture_stores,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/furniture_stores.json
Home & Garden,https://example.com/c/home_garden,Garden & Pond,garden_pond,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/garden_pond.json
Home & Garden,https://example.com/c/home_garden,Home & Garden Services,home_garden_services,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/home_garden_services.json
Home & Garden,https://example.com/c/home_garden,Home Goods Stores,home_goods_stores,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/home_goods_stores.json
Home & Garden,https://example.com/c/home_garden,Home Improvements,home_improvements,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/home_improvements.json
Home Services,https://example.com/c/home_services,Cleaning Service Providers,cleaning_service_providers,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/cleaning_service_providers.json
Home Services,https://example.com/c/home_services,Craftsman,craftsman,https://www.trustpilot.com/_next/data/categoriespages-consumersite-2.718.0/categories/craftsman.json
